GeneID,Species,Gene,Tissue,Description,Chromosome,Start_position,End_position,Exon_count,Reference
863,"Homo sapiens",CBFA2T3,Intestine,"CBFA2/RUNX1 partner transcriptional co-repressor 3",16,88874858,88977207,14,10.1136/gutjnl-2011-301439
864,"Homo sapiens",RUNX3,Epithelia,"RUNX family transcription factor 3",1,24899511,24965158,7,10.1167/iovs.13-11791
864,"Homo sapiens",RUNX3,Misc,"RUNX family transcription factor 3",1,24899511,24965158,7,10.1007/s00441-010-1011-7
873,"Homo sapiens",CBR1,Muscle,"carbonyl reductase 1",21,36070024,36073164,3,10.1016/j.biocel.2013.05.025
894,"Homo sapiens",CCND2,Muscle,"cyclin D2",12,4273762,4305353,5,10.1093/hmg/ddt184
898,"Homo sapiens",CCNE1,Liver,"cyclin E1",19,29811991,29824312,12,10.1007/s12272-009-1419-3
947,"Homo sapiens",CD34,Muscle,"CD34 molecule",1,207880972,207911125,8,10.1242/jcs.00110
947,"Homo sapiens",CD34,"Stem cell","CD34 molecule",1,207880972,207911125,8,10.1089/scd.2006.15.839
960,"Homo sapiens",CD44,Cartilage,"CD44 molecule (Indian blood group)",11,35139168,35232402,21,10.1152/japplphysiol.01132.2012
960,"Homo sapiens",CD44,Kidney,"CD44 molecule (Indian blood group)",11,35139168,35232402,21,10.1038/sj.ki.5002334
999,"Homo sapiens",CDH1,"Hair cell","cadherin 1",16,68737292,68835537,16,10.1006/excr.2002.5574
1017,"Homo sapiens",CDK2,Liver,"cyclin dependent kinase 2",12,55966830,55972789,8,10.1002/hep.26584
1019,"Homo sapiens",CDK4,Pancreas,"cyclin dependent kinase 4",12,57747727,57752310,8,10.4049/jimmunol.180.2.1189
1025,"Homo sapiens",CDK9,Muscle,"cyclin dependent kinase 9",9,127786034,127790792,7,10.1002/jcp.21361
1026,"Homo sapiens",CDKN1A,Liver,"cyclin dependent kinase inhibitor 1A",6,36676463,36687332,6,10.1101/gad.390506
1026,"Homo sapiens",CDKN1A,Nerve,"cyclin dependent kinase inhibitor 1A",6,36676463,36687332,6,10.1084/jem.20031385
1027,"Homo sapiens",CDKN1B,Pancreas,"cyclin dependent kinase inhibitor 1B",12,12717368,12722369,3,10.2337/db06-0249
1029,"Homo sapiens",CDKN2A,Misc,"cyclin dependent kinase inhibitor 2A",9,21967752,21995324,8,10.1016/j.stem.2010.05.022
1029,"Homo sapiens",CDKN2A,Pancreas,"cyclin dependent kinase inhibitor 2A",9,21967752,21995324,8,10.1155/2014/873679
1050,"Homo sapiens",CEBPA,Epithelia,"CCAAT enhancer binding protein alpha",19,33299934,33302564,1,10.1002/dvdy.23773
1051,"Homo sapiens",CEBPB,Epithelia,"CCAAT enhancer binding protein beta",20,50190583,50192690,1,10.1002/dvdy.23773
1051,"Homo sapiens",CEBPB,Liver,"CCAAT enhancer binding protein beta",20,50190583,50192690,1,10.1128/MCB.23.4.1251-1259.2003
1051,"Homo sapiens",CEBPB,Nerve,"CCAAT enhancer binding protein beta",20,50190583,50192690,1,10.1016/j.mcn.2005.04.004
1052,"Homo sapiens",CEBPD,Nerve,"CCAAT enhancer binding protein delta",8,47736913,47738164,1,10.1016/j.expneurol.2012.10.012
1080,"Homo sapiens",CFTR,Epithelia,"CF transmembrane conductance regulator",7,117480025,117668665,27,10.1016/j.yexcr.2007.02.035
1191,"Homo sapiens",CLU,Kidney,clusterin,8,27596917,27614700,11,10.1152/ajprenal.00410.2013
1191,"Homo sapiens",CLU,Nerve,clusterin,8,27596917,27614700,11,10.1523/JNEUROSCI.3822-13.2014
1191,"Homo sapiens",CLU,Pancreas,clusterin,8,27596917,27614700,11,10.1002/dvdy.22556
1236,"Homo sapiens",CCR7,Kidney,"C-C motif chemokine receptor 7",17,40553769,40565472,5,10.1186/1471-2369-5-8
1268,"Homo sapiens",CNR1,Liver,"cannabinoid receptor 1",6,88139864,88167349,8,10.1073/pnas.1017689108
1270,"Homo sapiens",CNTF,Retina,"ciliary neurotrophic factor",11,58622665,58625733,2,10.1371/journal.pone.0009495
1280,"Homo sapiens",COL2A1,Cartilage,"collagen type II alpha 1 chain",12,47972967,48006212,57,10.1093/ejo/cjp163
1280,"Homo sapiens",COL2A1,"Stem cell","collagen type II alpha 1 chain",12,47972967,48006212,57,10.1016/j.joca.2012.06.002
1291,"Homo sapiens",COL6A1,Muscle,"collagen type VI alpha 1 chain",21,45981770,46005048,35,10.1038/ncomms2964
1300,"Homo sapiens",COL10A1,Cartilage,"collagen type X alpha 1 chain",6,116118909,116219937,6,10.1093/ejo/cjp163
1382,"Homo sapiens",CRABP2,Nerve,"cellular retinoic acid binding protein 2",1,156699606,156705784,5,10.1111/j.1460-9568.2007.05951.x
1385,"Homo sapiens",CREB1,Muscle,"cAMP responsive element binding protein 1",2,207529943,207605988,13,10.1371/journal.pone.0024714
1387,"Homo sapiens",CREBBP,Nerve,"CREB binding protein",16,3725054,3880727,33,10.1038/cdd.2008.175
1392,"Homo sapiens",CRH,Skin,"corticotropin releasing hormone",8,66176376,66178464,2,10.1371/journal.pone.0021654
1395,"Homo sapiens",CRHR2,Intestine,"corticotropin releasing hormone receptor 2",7,30649406,30700103,16,10.1002/jcp.20792
1401,"Homo sapiens",CRP,Epithelia,"C-reactive protein",1,159712289,159714589,3,10.1042/CS20130471
1432,"Homo sapiens",MAPK14,Cartilage,"mitogen-activated protein kinase 14",6,36027711,36122964,22,10.1111/jcmm.12034
1432,"Homo sapiens",MAPK14,"Salivary gland","mitogen-activated protein kinase 14",6,36027711,36122964,22,10.1111/j.1432-0436.2007.00251.x
1435,"Homo sapiens",CSF1,Kidney,"colony stimulating factor 1",1,109910506,109930992,11,10.1172/JCI60363
1435,"Homo sapiens",CSF1,Liver,"colony stimulating factor 1",1,109910506,109930992,11,10.1016/j.jss.2009.08.008
1440,"Homo sapiens",CSF3,Bone,"colony stimulating factor 3",17,40015440,40017813,4,10.1053/j.gastro.2007.05.018
1440,"Homo sapiens",CSF3,Heart,"colony stimulating factor 3",17,40015440,40017813,4,10.1016/j.ijcard.2005.06.043
1440,"Homo sapiens",CSF3,Muscle,"colony stimulating factor 3",17,40015440,40017813,4,10.1084/jem.20101059
1444,"Homo sapiens",CSHL1,Liver,"chorionic somatomammotropin hormone like 1",17,63909602,63911280,4,10.1210/en.2004-0655
1462,"Homo sapiens",VCAN,Nerve,versican,5,83471744,83582302,15,10.1210/en.2004-0655
1462,"Homo sapiens",VCAN,"Spinal cord",versican,5,83471744,83582302,15,10.1016/j.mcn.2003.10.009
1464,"Homo sapiens",CSPG4,"Spinal cord","chondroitin sulfate proteoglycan 4",15,75674322,75712848,10,10.1186/1471-2377-9-32
1465,"Homo sapiens",CSRP1,"Spinal cord","cysteine and glycine rich protein 1",1,201483530,201507123,8,10.1111/j.1460-9568.2011.07958.x
1499,"Homo sapiens",CTNNB1,"Hair cell","catenin beta 1",3,41199422,41240445,19,10.1016/j.devcel.2010.01.016
1499,"Homo sapiens",CTNNB1,Liver,"catenin beta 1",3,41199422,41240445,19,10.1002/hep.21523
1499,"Homo sapiens",CTNNB1,Muscle,"catenin beta 1",3,41199422,41240445,19,10.1161/01.ATV.0000193569.12490.4b
1499,"Homo sapiens",CTNNB1,Nerve,"catenin beta 1",3,41199422,41240445,19,10.1523/JNEUROSCI.4915-13.2014
1499,"Homo sapiens",CTNNB1,"Salivary gland","catenin beta 1",3,41199422,41240445,19,10.1089/scd.2009.0499
1525,"Homo sapiens",CXADR,Heart,"CXADR Ig-like cell adhesion molecule",21,17513016,17636213,10,10.1016/j.forsciint.2011.05.010
1536,"Homo sapiens",CYBB,Liver,"cytochrome b-245 beta chain",X,37780059,37813461,13,10.1016/j.jss.2006.05.039
1581,"Homo sapiens",CYP7A1,Liver,"cytochrome P450 family 7 subfamily A member 1",8,58490178,58500163,6,10.1210/me.2008-0198
1592,"Homo sapiens",CYP26A1,Lens,"cytochrome P450 family 26 subfamily A member 1",10,93073475,93077885,8,10.1016/j.ydbio.2013.12.036
1593,"Homo sapiens",CYP27A1,Liver,"cytochrome P450 family 27 subfamily A member 1",2,218781733,218815293,9,10.1016/j.jhep.2010.12.037
1594,"Homo sapiens",CYP27B1,Muscle,"cytochrome P450 family 27 subfamily B member 1",12,57762334,57767078,9,10.1152/ajpcell.00014.2012
1605,"Homo sapiens",DAG1,Epithelia,"dystroglycan 1",3,49468703,49535618,9,10.1002/pros.21110
1605,"Homo sapiens",DAG1,Muscle,"dystroglycan 1",3,49468703,49535618,9,10.1016/s0092-8674(02)00907-8
1634,"Homo sapiens",DCN,Muscle,decorin,12,91140484,91182817,9,10.1007/s12565-011-0103-0
1642,"Homo sapiens",DDB1,Liver,"damage specific DNA binding protein 1",11,61299451,61333105,27,10.1073/pnas.1015793108
1649,"Homo sapiens",DDIT3,Liver,"DNA damage inducible transcript 3",12,57516588,57520517,4,10.1016/j.jhep.2013.04.024
1719,"Homo sapiens",DHFR,Nerve,"dihydrofolate reductase",5,80626226,80654983,6,10.1172/JCI40000
1734,"Homo sapiens",DIO2,Muscle,"iodothyronine deiodinase 2",14,80197526,80231057,7,10.1152/ajpendo.00292.2011
1755,"Homo sapiens",DMBT1,Epithelia,"deleted in malignant brain tumors 1",10,122560677,122643736,57,10.1016/s0014-5793(03)00217-5
1756,"Homo sapiens",DMD,Muscle,dystrophin,X,31119219,33339460,89,10.1093/hmg/ddr015
1803,"Homo sapiens",DPP4,Pancreas,"dipeptidyl peptidase 4",2,161992245,162074215,28,10.1371/journal.pone.0053345
1950,"Homo sapiens",EGF,"Stem cell","epidermal growth factor",4,109912883,110013766,26,10.1038/nm.3070
1956,"Homo sapiens",EGFR,Epithelia,"epidermal growth factor receptor",7,55019017,55211628,31,10.1172/JCI62888
1956,"Homo sapiens",EGFR,"Hair cell","epidermal growth factor receptor",7,55019017,55211628,31,10.1016/j.ydbio.2011.12.035
1956,"Homo sapiens",EGFR,Liver,"epidermal growth factor receptor",7,55019017,55211628,31,10.1016/j.jhep.2007.08.020
1956,"Homo sapiens",EGFR,Nerve,"epidermal growth factor receptor",7,55019017,55211628,31,10.1126/science.1115462
1956,"Homo sapiens",EGFR,"Salivary gland","epidermal growth factor receptor",7,55019017,55211628,31,10.1111/j.1432-0436.2007.00251.x
1958,"Homo sapiens",EGR1,Liver,"early growth response 1",5,138465479,138469303,2,10.1186/1471-213X-11-28
2000,"Homo sapiens",ELF4,Bone,"E74 like ETS transcription factor 4",X,130063955,130110891,11,10.1161/ATVBAHA.111.224436
2017,"Homo sapiens",CTTN,Misc,cortactin,11,70398529,70436579,20,10.1016/j.devcel.2010.07.009
2043,"Homo sapiens",EPHA4,Nerve,"EPH receptor A4",2,221418027,221574202,19,10.1016/j.neulet.2013.05.022
2056,"Homo sapiens",EPO,Muscle,erythropoietin,7,100720468,100723700,5,10.1096/fj.11-196618
2113,"Homo sapiens",ETS1,Kidney,"ETS proto-oncogene 1, transcription factor",11,128458765,128587593,12,10.1097/01.ASN.0000145459.54236.D3
2146,"Homo sapiens",EZH2,Pancreas,"enhancer of zeste 2 polycomb repressive complex 2 subunit",7,148807374,148884344,25,10.1172/JCI69468
2162,"Homo sapiens",F13A1,Skin,"coagulation factor XIII A chain",6,6144084,6320662,15,10.1016/j.jvs.2006.05.011
2246,"Homo sapiens",FGF1,"Spinal cord","fibroblast growth factor 1",5,142592178,142698070,11,10.1523/JNEUROSCI.0758-12.2012
2247,"Homo sapiens",FGF2,Bone,"fibroblast growth factor 2",4,122826708,122898236,3,10.1016/j.bbrc.2006.02.171
2247,"Homo sapiens",FGF2,Muscle,"fibroblast growth factor 2",4,122826708,122898236,3,10.1371/journal.pone.0028700
2247,"Homo sapiens",FGF2,Nerve,"fibroblast growth factor 2",4,122826708,122898236,3,10.1016/j.mcn.2003.11.007
2247,"Homo sapiens",FGF2,Skin,"fibroblast growth factor 2",4,122826708,122898236,3,10.1002/jcp.20256
2252,"Homo sapiens",FGF7,Pancreas,"fibroblast growth factor 7",15,49423242,49488775,4,10.1006/exmp.2002.2472
2254,"Homo sapiens",FGF9,"Hair cell","fibroblast growth factor 9",13,21671073,21704501,4,10.1038/nm.3181
2255,"Homo sapiens",FGF10,Pancreas,"fibroblast growth factor 10",5,44300247,44389706,3,10.1006/exmp.2002.2472
2260,"Homo sapiens",FGFR1,Lung,"fibroblast growth factor receptor 1",8,38411143,38468635,24,10.1152/ajplung.00008.2009
2260,"Homo sapiens",FGFR1,Muscle,"fibroblast growth factor receptor 1",8,38411143,38468635,24,10.1371/journal.pone.0028700
2260,"Homo sapiens",FGFR1,Nerve,"fibroblast growth factor receptor 1",8,38411143,38468635,24,10.1523/JNEUROSCI.4516-08.2009
2263,"Homo sapiens",FGFR2,Liver,"fibroblast growth factor receptor 2",10,121478330,121598458,24,10.1038/sj.onc.1206499
2264,"Homo sapiens",FGFR4,Muscle,"fibroblast growth factor receptor 4",5,177086915,177098144,18,10.1074/jbc.M507440200
2274,"Homo sapiens",FHL2,Muscle,"four and a half LIM domains 2",2,105357712,105438529,11,10.1002/stem.274
2275,"Homo sapiens",FHL3,Muscle,"four and a half LIM domains 3",1,37996765,38005691,8,10.1038/sj.emboj.7601635
2303,"Homo sapiens",FOXC2,Muscle,"forkhead box C2",16,86566829,86569728,1,10.1038/cdd.2013.34
2305,"Homo sapiens",FOXM1,Liver,"forkhead box M1",12,2857680,2877174,11,10.1074/jbc.M207510200
2314,"Homo sapiens",FLII,"Hair cell","FLII actin remodeling protein",17,18244815,18259022,30,10.1038/jid.2010.393
2319,"Homo sapiens",FLOT2,Nerve,"flotillin 2",17,28879339,28897733,13,10.1016/j.nbd.2012.11.007
2321,"Homo sapiens",FLT1,Liver,"fms related receptor tyrosine kinase 1",13,28300346,28495128,33,10.1126/science.1079562
2323,"Homo sapiens",FLT3LG,Thymus,"fms related receptor tyrosine kinase 3 ligand",19,49474172,49487037,12,10.1182/blood-2003-11-3789
2483,"Homo sapiens",FRG1,Muscle,"FSHD region gene 1",4,189940846,189963204,8,10.1242/jcs.121533
2520,"Homo sapiens",GAST,Epithelia,gastrin,17,41712331,41715969,3,10.1053/j.gastro.2005.12.033
2549,"Homo sapiens",GAB1,Liver,"GRB2 associated binding protein 1",4,143336876,143474565,19,10.1128/MCB.02253-05
2549,"Homo sapiens",GAB1,Pancreas,"GRB2 associated binding protein 1",4,143336876,143474565,19,10.1016/j.cellsig.2005.08.013
2596,"Homo sapiens",GAP43,Misc,"growth associated protein 43",3,115623510,115721485,4,10.1080/00016480252814162
2596,"Homo sapiens",GAP43,Nerve,"growth associated protein 43",3,115623510,115721485,4,10.3892/mmr.2011.510
2621,"Homo sapiens",GAS6,Liver,"growth arrest specific 6",13,113820549,113864076,15,10.1053/j.gastro.2005.08.004
2627,"Homo sapiens",GATA6,Epithelia,"GATA binding protein 6",18,22169589,22202528,7,10.1038/ng.157
2641,"Homo sapiens",GCG,Pancreas,glucagon,2,162142882,162152247,6,10.1038/sj.mt.6300005
2670,"Homo sapiens",GFAP,Nerve,"glial fibrillary acidic protein",17,44903159,44915552,10,10.1242/jcs.03168
2676,"Homo sapiens",GFRA3,Nerve,"GDNF family receptor alpha 3",5,138252380,138274621,8,10.1523/JNEUROSCI.2195-10.2010
2690,"Homo sapiens",GHR,Liver,"growth hormone receptor",5,42423439,42721878,18,10.1210/en.2010-1193
2690,"Homo sapiens",GHR,Muscle,"growth hormone receptor",5,42423439,42721878,18,10.1210/en.2013-1209
2697,"Homo sapiens",GJA1,"Hair cell","gap junction protein alpha 1",6,121435646,121449727,2,10.1038/jid.2011.183
2697,"Homo sapiens",GJA1,Muscle,"gap junction protein alpha 1",6,121435646,121449727,2,10.1242/jcs.01553
2705,"Homo sapiens",GJB1,Nerve,"gap junction protein beta 1",X,71215239,71225516,4,10.1097/WNR.0b013e32834051c7
2735,"Homo sapiens",GLI1,Misc,"GLI family zinc finger 1",12,57459785,57472451,13,10.1074/jbc.M112.443440
2752,"Homo sapiens",GLUL,Pancreas,"glutamate-ammonia ligase",1,182378098,182391790,9,10.1002/jcb.24370
2778,"Homo sapiens",GNAS,Bone,"GNAS complex locus",20,58839681,58911192,23,10.1007/s11999-012-2475-4
2833,"Homo sapiens",CXCR3,Kidney,"C-X-C motif chemokine receptor 3",X,71615913,71618515,4,10.1186/1471-2369-5-8
2950,"Homo sapiens",GSTP1,Liver,"glutathione S-transferase pi 1",11,67583812,67586653,7,10.1186/2047-783x-16-1-34
3065,"Homo sapiens",HDAC1,"Hair cell","histone deacetylase 1",1,32292083,32333628,14,10.1038/jid.2013.283
3065,"Homo sapiens",HDAC1,Kidney,"histone deacetylase 1",1,32292083,32333628,14,10.1152/ajprenal.00102.2014
3066,"Homo sapiens",HDAC2,"Hair cell","histone deacetylase 2",6,113933028,113971148,17,10.1038/jid.2013.283
3082,"Homo sapiens",HGF,Heart,"hepatocyte growth factor",7,81699006,81770438,20,10.1160/TH11-10-0711
3082,"Homo sapiens",HGF,Misc,"hepatocyte growth factor",7,81699006,81770438,20,10.1007/s00005-006-0015-1
3082,"Homo sapiens",HGF,Muscle,"hepatocyte growth factor",7,81699006,81770438,20,10.1006/bbrc.2002.6706
3091,"Homo sapiens",HIF1A,Epithelia,"hypoxia inducible factor 1 subunit alpha",14,61695513,61748258,16,10.1210/en.2008-1333
3091,"Homo sapiens",HIF1A,Heart,"hypoxia inducible factor 1 subunit alpha",14,61695513,61748258,16,10.1007/s12265-011-9265-3
3091,"Homo sapiens",HIF1A,Muscle,"hypoxia inducible factor 1 subunit alpha",14,61695513,61748258,16,10.4049/jimmunol.1103779
3162,"Homo sapiens",HMOX1,Heart,"heme oxygenase 1",22,35381096,35394207,5,10.1016/j.ejphar.2010.02.050
3209,"Homo sapiens",HOXA13,Epithelia,"homeobox A13",7,27194364,27200091,2,10.1101/gad.1610508
3213,"Homo sapiens",HOXB3,"Stem cell","homeobox B3",17,48548870,48590241,9,10.1128/MCB.23.11.3872-3883.2003
3214,"Homo sapiens",HOXB4,"Stem cell","homeobox B4",17,48575507,48578350,2,10.1128/MCB.23.11.3872-3883.2003
3290,"Homo sapiens",HSD11B1,Pancreas,"hydroxysteroid 11-beta dehydrogenase 1",1,209686179,209734929,7,10.1007/s00125-008-1137-2
3373,"Homo sapiens",HYAL1,Muscle,"hyaluronidase 1",3,50299889,50312951,6,10.1074/jbc.M111.336925
3458,"Homo sapiens",IFNG,Nerve,"interferon gamma",12,68154768,68159740,4,10.1371/journal.pone.0011091
3480,"Homo sapiens",IGF1R,Nerve,"insulin like growth factor 1 receptor",15,98648539,98964530,26,10.1371/journal.pone.0054462
3481,"Homo sapiens",IGF2,Skin,"insulin like growth factor 2",11,2129117,2149566,9,10.1111/j.0022-202X.2004.22527.x
3482,"Homo sapiens",IGF2R,Liver,"insulin like growth factor 2 receptor",6,159969082,160111504,48,10.1016/s0168-8278(02)00378-1
3488,"Homo sapiens",IGFBP5,Skin,"insulin like growth factor binding protein 5",2,216672105,216695549,4,10.1111/j.0022-202X.2004.22527.x
3491,"Homo sapiens",CCN1,Endothelia,"cellular communication network factor 1",1,85580761,85583950,5,10.1182/blood-2006-07-036202
3549,"Homo sapiens",IHH,"Stem cell","Indian hedgehog signaling molecule",2,219054424,219060921,3,10.1016/j.joca.2012.06.002
3553,"Homo sapiens",IL1B,Bone,"interleukin 1 beta",2,112829751,112836843,7,"PMID: 24431314"
3553,"Homo sapiens",IL1B,Nerve,"interleukin 1 beta",2,112829751,112836843,7,10.1016/j.bbrc.2007.10.198
3553,"Homo sapiens",IL1B,Liver,"interleukin 1 beta",2,112829751,112836843,7,10.1111/j.1478-3231.2005.01080.x
3572,"Homo sapiens",IL6ST,Heart,"interleukin 6 cytokine family signal transducer",5,55935095,55994963,19,10.1038/bjp.2008.1
3586,"Homo sapiens",IL10,Muscle,"interleukin 10",1,206767602,206772494,7,10.4049/jimmunol.1103180
3655,"Homo sapiens",ITGA6,Heart,"integrin subunit alpha 6",2,172427336,172506459,28,10.1634/stemcells.2007-0732
3815,"Homo sapiens",KIT,Heart,"KIT proto-oncogene, receptor tyrosine kinase",4,54657957,54740715,21,10.1634/stemcells.2007-0732
3815,"Homo sapiens",KIT,Muscle,"KIT proto-oncogene, receptor tyrosine kinase",4,54657957,54740715,21,10.1111/j.1582-4934.2011.01330.x
3909,"Homo sapiens",LAMA3,Skin,"laminin subunit alpha 3",18,23689443,23955066,78,10.1016/j.ejcb.2006.07.004
3911,"Homo sapiens",LAMA5,Skin,"laminin subunit alpha 5",20,62309060,62367318,81,10.1016/j.ejcb.2006.07.004
3976,"Homo sapiens",LIF,Heart,"LIF interleukin 6 family cytokine",22,30240453,30257487,5,10.1074/jbc.M508969200
3976,"Homo sapiens",LIF,Nerve,"LIF interleukin 6 family cytokine",22,30240453,30257487,5,10.1523/JNEUROSCI.3047-06.2006
4089,"Homo sapiens",SMAD4,"Stem cell","SMAD family member 4",18,51030213,51085042,12,10.1182/blood-2012-02-408658
4162,"Homo sapiens",MCAM,Bone,"melanoma cell adhesion molecule",11,119305759,119317130,16,10.1371/journal.pone.0076153
